goodreads_book_id,tag_id,count
24,31155,2312
24,21689,1971
24,8717,1558
24,30574,1009
24,21773,702
24,15048,572
24,3461,395
24,11557,366
24,19733,267
24,15067,174
24,22743,150
24,3389,148
24,3371,121
24,3392,117
24,14552,114
24,4522,101
24,19742,94
24,5207,93
24,31186,88
24,1691,85
24,12680,78
24,4949,77
24,4605,67
24,31190,58
24,9221,54
24,17213,50
24,18045,48
24,3379,46
24,7725,43
24,31156,37
24,3377,36
24,3465,36
24,1642,35
24,22753,34
24,11590,31
24,32077,31
24,31162,31
24,21195,31
24,11743,30
24,4615,29
24,3358,27
24,1416,25
24,20849,24
24,19738,24
24,1709,23
24,5858,23
24,15060,21
24,21685,21
24,8683,21
24,24960,20
24,10197,20
24,31191,20
24,2928,19
24,31174,19
24,15169,18
24,30521,18
24,25150,18
24,10210,18
24,2580,18
24,31505,18
24,9477,18
24,10891,18
24,25152,17
24,9484,17
24,3611,17
24,32586,16
24,18284,16
24,30756,16
24,8055,15
24,603,15
24,30755,15
24,12954,15
24,5051,15
24,13053,15
24,22180,15
24,10644,14
24,22689,14
24,25151,14
24,11503,14
24,31173,14
24,2104,13
24,25153,13
24,31192,13
24,1669,13
24,1668,13
24,31175,13
24,31176,13
24,20774,12
24,11978,12
24,21766,12
24,5481,12
24,12869,12
24,10094,11
24,4568,11
24,20159,11
24,14764,10
24,10093,10
24,24997,10
24,25506,10
24,21740,10
25,30574,816
25,15048,603
25,21773,540
25,19733,354
25,10891,154
25,21689,144
25,4605,138
25,22743,115
25,19742,107
25,31155,94
25,8717,91
25,3389,86
25,12680,81
25,2271,73
25,15067,67
25,3392,66
25,31186,64
25,7725,58
25,3611,56
25,18045,51
25,31656,51
25,9221,49
25,3371,48
25,14552,45
25,4949,43
25,5858,42
25,10197,37
25,4615,35
25,27669,32
25,8683,31
25,11743,29
25,22753,29
25,1642,28
25,10210,27
25,28009,26
25,31528,25
25,1416,24
25,31190,24
25,19738,22
25,15060,22
25,32865,22
25,18130,21
25,4521,21
25,3379,20
25,26816,20
25,28601,20
25,20849,19
25,10644,19
25,12940,19
25,31526,19
25,8738,19
25,2497,19
25,11557,18
25,10641,18
25,18318,18
25,12388,18
25,2450,18
25,31099,18
25,920,18
25,9306,18
25,8055,17
25,25149,17
25,3377,17
25,31162,17
25,462,17
25,30521,16
25,32586,16
25,923,16
25,9477,16
25,6524,16
25,5207,15
25,31156,15
25,4522,15
25,31187,15
25,1691,14
25,10093,14
25,17217,14
25,1669,14
25,21685,14
25,30756,13
25,4594,13
25,4587,13
25,6122,13
25,30755,12
25,19737,12
25,4611,12
25,10886,12
25,25147,11
25,2335,11
25,11503,11
25,31505,11
25,487,11
25,1668,11
25,21406,11
25,27535,10
25,25150,10
25,14764,10
25,3358,10
25,25148,10
25,21739,10
26,30574,27858
26,31155,1536
26,21689,1104
26,8717,709
26,21773,390
26,15048,362
26,19733,190
26,15067,126
26,11557,108
26,22743,107
26,4522,89
26,31186,84
26,5207,75
26,19742,67
26,2271,65
26,4605,60
26,12680,48
26,4949,41
26,10891,40
26,7725,38
26,18045,37
26,31656,37
26,3389,36
26,9221,35
26,31190,35
26,3392,32
26,2277,32
26,20849,28
26,30521,28
26,2335,26
26,3371,25
26,1691,24
26,5858,24
26,4615,23
26,25987,23
26,11743,22
26,31162,22
26,17213,21
26,14552,21
26,30756,21
26,1416,20
26,3611,19
26,10644,18
26,10197,18
26,30755,17
26,22753,16
26,8055,16
26,10210,16
