user_id,book_id
116,8697
94,5704
29,709
124,8456
167,76
185,297
112,2770
10,4369
116,1238
162,5220
162,4337
162,4253
162,5905
320,2674
69,1238
301,72
301,243
222,3092
222,1238
399,4139
399,3425
399,1503
418,5374
399,5187
453,1238
245,739
428,4134
428,9047
488,1460
488,1645
506,784
511,2252
506,484
506,1704
506,1124
506,343
533,4363
530,9240
143,9070
143,2603
537,1144
554,405
580,4972
513,2098
590,952
603,1238
634,1645
632,4221
488,854
239,883
497,297
670,1238
718,3598
654,306
759,709
756,3036
839,3600
871,1645
914,297
916,405
953,2398
953,3851
506,951
956,2604
816,2621
1007,331
532,322
488,1976
1005,2770
1033,405
875,1713
543,1873
976,344
547,4838
1139,848
1104,1537
653,8893
1104,1845
1046,3027
1178,1236
311,2321
1178,3092
1211,4513
1135,325
1253,2860
1302,306
1326,1845
533,9754
1321,3837
533,405
1394,1676
1430,72
1430,1161
1430,1236
1430,484
1437,4979
190,948
1434,1106
1315,1238
1315,344
253,7155
1450,1161
1503,712
1011,3027
1474,5221
547,3007
683,1873
1166,3338
1650,1618
1650,4320
1561,2994
1561,1986
564,3381
1526,1144
1526,2186
1722,6895
1125,476
1663,297
1124,1238
1551,1748
1582,377
765,4972
815,1102
1778,5097
875,1107
1726,344
1726,372
1726,943
1726,1923
1726,2579
1835,6816
1835,377
1835,5905
1835,3837
1350,2691
1392,377
1824,1873
1180,2658
1514,1389
627,7652
283,1856
283,304
283,2028
1726,784
1889,1752
1889,2188
706,1238
1850,1873
1913,310
1913,625
1570,1236
1654,1936
1574,4316
788,2568
718,297
1504,4079
1953,6858
2075,372
1767,4392
318,484
662,328
1942,322
1942,3857
2223,2897
2080,2252
2080,5330
2080,5792
2080,4221
2080,9754
2233,1873
670,4418
670,8045
2283,476
2283,2939
2130,325
2130,405
2130,4972
2323,7603
2080,5774
2219,4369
2338,709
1463,1149
2373,1873
2389,3911
2397,1923
2397,405
1474,1106
605,2883
605,3007
605,3386
605,6610
605,2815
605,3456
1173,3963
1173,6588
1173,784
2519,1102
2519,2233
2178,297
1740,6870
2530,8045
2540,4221
1910,325
2565,4057
2546,344
2589,3598
2589,1238
2361,5474
2485,1426
1903,3919
2569,8697
2569,1299
2253,1459
2407,6892
2337,230
2652,7138
1866,2897
2662,344
2662,1106
2662,8312
2667,328
2667,3456
2294,328
2617,1236
1111,5215
1835,5482
2715,864
1903,1689
1903,3935
2662,578
2662,705
2713,6870
2397,3425
1040,2797
774,3119
774,686
669,6870
2837,1238
2713,4237
2715,328
462,1102
2397,2004
2844,799
2844,1922
2844,4124
2844,2657
2844,4387
2844,2862
2747,3387
1095,5914
1095,471
1095,1501
1095,463
1095,554
1095,864
1095,712
1095,1026
803,6049
2888,4513
2907,1923
2907,2233
670,306
428,1245
579,7414
2438,297
818,465
848,1873
2738,3456
2738,1873
2951,372
385,6049
1845,471
2438,2098
774,230
2954,344
2747,4017
2955,322
2909,1238
2889,3456
1851,1238
2953,4031
2048,1501
533,1503
3035,76
977,1238
1845,864
2637,7138
952,2034
3061,1236
2853,3036
2928,3428
2928,2274
1117,1238
28,8654
3035,5932
3029,6322
3088,4360
3029,322
3029,666
2934,716
3087,344
2809,3133
3107,7681
1315,8654
2427,242
3049,1676
3049,3133
3049,3068
3049,3600
3125,3921
3115,405
3115,2098
2747,2781
2747,1937
2967,306
2070,2939
2427,2214
2427,2184
3094,908
3094,328
2809,1202
2809,4392
2963,377
2671,3524
3079,1238
2931,2633
2868,883
2890,2561
3057,3913
2713,4363
1235,6816
1235,3254
3190,4392
2070,2352
2955,8647
3029,3092
3203,2461
3181,1733
2985,5330
3158,9330
3158,5072
3158,660
2920,833
3105,1873
3239,3456
1850,7093
2738,230
1681,1144
3158,6738
559,5072
3085,336
3270,4130
3105,7093
3290,2610
3290,1501
3290,76
3293,948
3293,6049
3293,2897
3293,4640
2437,1238
2361,883
3277,322
1906,2981
2361,2028
2361,372
2597,1238
926,377
1124,5474
3126,3837
3301,948
3301,6816
3293,4079
3321,2691
3296,8389
3301,1124
2260,571
2260,484
3023,2034
3023,4979
3363,76
3363,405
3055,3913
3270,1856
3393,2028
3269,2004
1315,5474
3430,4392
3126,4508
2460,3610
2460,3567
2460,4390
2460,4400
3479,1676
3492,8492
3492,1238
3492,1873
2437,2004
1515,4838
2389,76
703,1573
1465,2897
3536,1645
559,1236
3536,344
179,908
109,5947
2215,4544
3422,1299
3422,2274
3422,2025
3422,1423
2995,4249
2995,908
2995,76
3092,1238
2685,3092
954,5347
3546,2004
1736,1873
3270,908
3617,2028
2569,4079
2569,3893
3594,7462
3088,2815
1964,9935
3301,1236
1964,1111
3655,3837
3655,1236
2517,322
3269,3293
3705,7826
3709,6610
3713,3893
3639,4139
3692,5221
1649,8389
3385,799
3063,2579
3717,9330
3747,1676
3747,297
3747,7145
1450,908
1450,2991
1450,1714
2782,4134
2438,6251
3670,1873
3793,1238
3126,1649
3668,306
3549,1976
3844,328
957,7826
3857,297
1261,1238
1508,883
3597,297
3884,4813
3888,1503
1450,2856
3903,6610
3903,952
3916,716
3916,596
3269,1873
3381,405
3868,476
462,9270
2724,3837
463,4057
3845,1537
3845,6566
3845,1311
3845,674
3845,2579
3845,76
2517,5097
3951,451
3635,1238
3738,1414
2282,76
1600,322
774,709
314,476
3628,2250
1964,8728
4013,7603
4013,1500
3043,1986
2389,1238
1724,1501
1724,3254
1724,3055
3635,4139
1070,883
525,2607
4024,3835
4024,4302
3381,4301
3877,76
3877,230
3535,1301
4072,230
4072,76
3635,5482
4082,1689
3386,7462
3920,8039
954,666
3428,405
4124,2233
4124,405
1713,1873
3295,7093
892,4057
3286,8039
3626,7138
3626,4108
3626,3387
3649,2545
2662,7093
573,304
65,854
3953,297
4205,2897
1287,1936
3738,331
4028,2981
4028,2261
4028,2568
2485,5427
2485,777
2485,3011
4281,1936
1800,908
1800,2883
4277,1856
634,8654
634,6242
3928,4418
3928,2897
4317,911
1356,322
1356,305
1356,243
1356,553
3535,242
1579,322
4344,784
1845,451
4190,1144
4248,9270
4248,7934
2070,3387
253,9542
253,1238
801,1913
2117,647
2117,8457
4379,1238
4384,8152
923,2773
923,377
3579,1714
3296,1238
4451,1649
3697,1537
4460,6610
4466,2456
1609,2419
4486,944
3928,4139
4486,1123
4491,686
4491,552
4374,6782
4500,5629
4508,336
4521,2607
3966,1459
3966,344
4542,6892
2507,1238
2507,322
1609,739
4542,6007
4567,2089
3602,3780
3602,6931
126,7093
4592,5347
4592,4686
4592,6816
2046,7874
4592,377
4592,777
4592,1500
4592,3027
4592,2025
4373,8099
4373,7934
4373,1873
3566,1153
3535,1709
4622,2897
1257,405
1257,344
4294,1258
4294,1237
4636,8186
4585,1261
4653,883
4662,242
4379,8045
4379,2897
4379,2274
4379,2025
4013,3027
1515,325
4662,86
253,344
4687,5072
4687,372
4687,76
4662,6914
4662,2745
3422,4616
2320,784
4665,4418
4693,1106
4693,471
4693,76
709,615
709,1789
4718,3911
4613,6931
4765,1645
4765,1236
4765,4280
956,3374
4639,6500
826,5468
4272,76
4272,230
4272,471
4272,451
4619,451
4700,8039
3634,948
237,3456
4693,1238
1270,7093
2389,2621
3558,1501
2854,304
3340,372
4352,860
4029,2233
3635,6049
3856,854
4876,4057
4553,2028
4693,1752
4567,3092
4871,4363
4621,1360
4621,1501
4889,1360
4254,666
3943,4686
4953,8898
4953,7733
4586,8366
1075,2170
1075,2674
4969,1057
4969,963
4969,227
4969,1388
3363,2184
3363,2214
3363,2737
3363,2547
3363,3163
3363,1746
2409,1360
4969,571
695,2004
1081,3456
4999,3338
4586,6588
4586,5932
5023,951
5023,1236
5023,1500
5024,310
5029,1106
3221,322
4789,2991
3023,4079
4837,1501
1077,9295
4585,6181
4150,883
4617,1389
5078,5187
4357,4137
29,730
5096,1503
4606,1645
5111,1873
1969,3338
1969,8975
1969,6475
1969,2579
4415,6383
4415,5914
4415,8075
4415,9828
5134,2781
5134,1106
5134,484
5134,709
5134,2172
4250,2233
4364,9852
1650,4927
1650,4280
4371,883
5096,372
5096,6895
4028,1501
5169,784
2920,5587
783,2671
5192,471
3541,8075
4555,2604
5246,5482
5099,1714
5251,2497
5251,7211
5096,7093
5280,8439
4586,3007
4636,9516
5211,1124
5304,2589
5291,9754
5200,8654
511,3068
695,1976
3363,4427
3340,3497
3340,2959
3340,3536
3340,4194
3340,3663
5336,2028
4407,325
263,8045
3340,9198
4421,2633
4693,777
4837,908
5156,2621
